,count,mean,std,min,25%,50%,75%,max
number of nodes,221749.0,17.779719412488895,55.58147013271626,1.0,3.0,6.0,16.0,5716.0
number of edges,221749.0,23.00359866335361,80.42356066151774,0.0,2.0,6.0,19.0,8571.0
depth,221749.0,6.141903683894854,18.335851627297213,1.0,1.0,3.0,6.0,2857.0
width,221749.0,3.288159134877722,4.003664599862103,1.0,2.0,3.0,4.0,735.0
number of binary splits,221749.0,7.241417097709572,25.27943994189127,0.0,1.0,2.0,6.0,2857.0
number of non binary splits,221749.0,0.01601811056645126,0.1657092792601334,0.0,0.0,0.0,0.0,18.0
total number of splits,221749.0,7.257435208276024,25.31040214537055,0.0,1.0,2.0,6.0,2857.0
max cardinality,221749.0,1.5835426540818673,1.7814804882833366,0.0,2.0,2.0,2.0,278.0
avg cardinality including binary splits,221749.0,1.5241047782897306,0.9287917016986129,0.0,2.0,2.0,2.0,94.66666666666667
avg cardinality excluding binary splits,221749.0,0.08973504366008954,1.5184946571721842,0.0,0.0,0.0,0.0,232.0
ratio nodes edges,221749.0,0.7460069131804553,0.4865397037418954,0.0,0.6871508379888268,0.8,1.0,1.5
ratio edges nodes,221749.0,0.8239747938745304,0.5141257781730253,0.0,0.6666666666666666,1.0,1.25,1.9755244755244756
min degree,221749.0,0.8509801622555231,0.5586554306614272,0.0,1.0,1.0,1.0,2.0
max degree,221749.0,5.9294652963485746,21.52489389256013,0.0,1.0,3.0,5.0,2857.0
avg degree,221749.0,1.6083700638952756,1.0616200323806515,0.0,1.0,2.0,2.5454545454545454,3.957894736842105
coefficient variation degrees,221749.0,0.29575889009876777,0.36308270152410765,0.0,0.0,0.3061862178478973,0.40740740740740744,12.590052088029374
entropy of distributions degrees,221749.0,0.8735432737157939,0.7386695557556404,0.0,0.0,1.3272876962597013,1.4813431779495887,2.160270068948106
min in degree,221749.0,0.7583393837176267,0.4280906320599018,0.0,1.0,1.0,1.0,1.0
max in degree,221749.0,5.699543177195839,21.545392387470155,0.0,1.0,2.0,5.0,2857.0
avg in degree,221749.0,0.9428799964271973,0.5479729729764933,0.0,1.0,1.2,1.3333333333333333,1.9824561403508771
coefficient variation in degrees,221749.0,0.5383815369232803,0.7401198028078498,0.0,0.0,0.3333333333333334,0.7972173828734263,25.18818219376125
entropy of distributions in degrees,221749.0,0.3414541132824198,0.31714757635854474,0.0,0.0,0.37272541701622386,0.6143694458867569,1.1004730368208926
min out degree,221749.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
max out degree,221749.0,1.5835426540818673,1.7814804882833366,0.0,2.0,2.0,2.0,278.0
avg out degree,221749.0,0.8239747938745304,0.5141257781730253,0.0,0.6666666666666666,1.0,1.25,1.9755244755244756
coefficient variation out degrees,221749.0,0.59706878235528,0.45950345573169693,0.0,0.3688555567816588,0.5734883511361752,0.816496580927726,11.620206152889919
entropy of distributions out degrees,221749.0,1.0100233031002546,0.6111844572525592,0.0,0.9182958340544894,1.2685347577182178,1.5219280948873626,2.0199376170167356
